variante,casillas,algoritmo,heuristica,modo,beta,intentos,exito,movs,nodos,tiempo_s
1,33,BFS,-,estricto,-,-,False,0,30001,2.757
2,25,BFS,-,estricto,-,-,False,0,30001,2.634
3,37,BFS,-,estricto,-,-,False,0,30001,4.269
4,25,BFS,-,estricto,-,-,False,0,30001,1.992
5,45,BFS,-,estricto,-,-,False,0,30001,6.116
1,33,Beam,pagoda,estricto,200,3,False,0,12576,2.041
1,33,Beam,compuesta,estricto,200,3,False,0,14924,9.55
1,33,Beam,pagoda,relajado,200,3,False,0,12576,2.055
1,33,Beam,compuesta,relajado,200,3,False,0,14924,10.558
2,25,Beam,pagoda,estricto,200,3,False,0,9208,0.892
2,25,Beam,compuesta,estricto,200,3,False,0,10790,4.811
2,25,Beam,pagoda,relajado,200,3,False,0,9208,0.9
2,25,Beam,compuesta,relajado,200,3,False,0,10790,10.16
3,37,Beam,pagoda,estricto,200,3,False,0,14710,4.06
3,37,Beam,compuesta,estricto,200,3,False,0,17918,25.676
3,37,Beam,pagoda,relajado,200,3,False,0,14710,4.238
3,37,Beam,compuesta,relajado,200,3,False,0,17918,19.721
4,25,Beam,pagoda,estricto,200,3,False,0,7931,0.843
4,25,Beam,compuesta,estricto,200,3,False,0,8842,3.567
4,25,Beam,pagoda,relajado,200,3,False,0,7931,0.942
4,25,Beam,compuesta,relajado,200,3,False,0,8842,5.127
5,45,Beam,pagoda,estricto,200,3,False,0,18547,6.454
5,45,Beam,compuesta,estricto,200,3,False,0,21305,24.958
5,45,Beam,pagoda,relajado,200,3,False,0,18547,6.707
5,45,Beam,compuesta,relajado,200,3,False,0,21305,30.537
