variante,hueco_fila,hueco_col,exito,movimientos,min_piezas,nodos,tiempo_s
1,0,2,True,35,1,3042,0.6
1,0,3,False,0,2,104432,21.6
1,1,1,False,0,2,105162,22.8
1,1,2,False,0,2,106029,24.0
1,1,3,True,35,1,3078,0.7
1,2,0,True,35,1,3042,0.7
1,2,1,False,0,2,105970,24.9
1,2,2,False,0,2,107255,25.6
1,2,3,True,35,1,3115,0.6
1,3,0,False,0,2,104463,22.3
1,3,1,True,35,1,3078,0.6
1,3,2,True,35,1,3115,0.6
1,3,3,False,0,2,106814,42.5
2,0,3,True,43,1,3759,1.0
2,0,4,False,0,2,125703,49.2
2,1,3,True,43,1,74001,25.6
2,1,4,False,0,3,129071,53.6
2,2,3,True,43,1,3845,1.4
2,2,4,False,0,2,132255,80.2
2,3,0,True,43,1,3754,1.0
2,3,1,True,43,1,73999,22.6
2,3,2,True,43,1,3843,1.0
2,3,3,True,43,1,33647,9.8
2,3,4,False,0,2,133927,78.5
2,4,0,False,0,2,125145,37.8
2,4,1,False,0,3,129048,40.7
2,4,2,False,0,2,132235,42.4
2,4,3,False,0,2,133854,43.7
2,4,4,False,0,3,128780,42.4
3,0,2,True,37,1,3222,0.6
3,0,3,True,37,1,3139,0.6
3,1,2,True,37,1,3249,0.7
3,1,3,True,37,1,3226,0.7
3,2,2,True,37,1,3281,0.8
3,2,3,True,37,1,3245,0.7
3,3,0,True,37,1,3239,0.7
3,3,1,True,37,1,3259,0.7
3,3,2,True,37,1,3314,0.8
3,3,3,True,37,1,3306,0.8
4,0,2,True,31,1,2639,0.4
4,0,3,True,31,1,7828,1.1
4,1,2,True,31,1,2658,0.4
4,1,3,True,31,1,2638,0.4
4,2,0,True,31,1,2639,0.5
4,2,1,True,31,1,2658,0.5
4,2,2,True,31,1,2710,0.6
4,2,3,True,31,1,2695,0.5
4,3,0,True,31,1,2598,0.4
4,3,1,True,31,1,2638,0.4
4,3,2,True,31,1,2695,0.5
4,3,3,True,31,1,15876,2.3
5,0,4,False,0,3,111976,26.4
5,1,3,True,39,1,29402,7.3
5,1,4,False,0,2,115517,27.8
5,2,2,False,0,2,114381,27.2
5,2,3,False,0,2,115035,26.6
5,2,4,False,0,2,116331,28.0
5,3,1,True,39,1,19846,4.6
5,3,2,False,0,2,115257,26.7
5,3,3,False,0,2,117806,29.0
5,3,4,False,0,3,115840,26.7
5,4,0,False,0,3,112006,24.8
5,4,1,False,0,2,115520,27.5
5,4,2,True,39,1,39047,9.4
5,4,3,False,0,3,115772,27.5
5,4,4,False,0,2,117415,28.9
